inning,ball,wickets_so_far,balls_in_partnership,runs_so_far,run_rate_last_5_overs,balls_since_last_boundary,boundary_this_over,wicket_this_over,strike_rate,bowling_average,batting_average,bowling_strike_rate,required_run_rate,big_moment
1,0.1,0,0,0,0.0,0,1,0,87.34,34.6,42.2,41.2,0.0,1
1,0.2,0,1,1,5.0,1,1,0,95.31,34.6,33.21,41.2,0.0,1
1,0.3,0,2,1,3.333333333,2,1,0,95.31,34.6,33.21,41.2,0.0,1
1,0.4,0,3,1,2.5,3,1,0,95.31,34.6,33.21,41.2,0.0,1
1,0.5,0,4,1,2.0,4,1,0,95.31,34.6,33.21,41.2,0.0,1
1,0.6,0,5,1,1.6666666669999999,5,1,0,95.31,34.6,33.21,41.2,0.0,1
1,1.1,0,6,7,6.3636363639999995,0,1,0,87.34,25.0,42.2,27.2,0.0,1
1,1.2,0,7,8,6.666666667,1,1,0,95.31,25.0,33.21,27.2,0.0,1
1,1.3,0,8,8,6.153846154,2,1,0,95.31,25.0,33.21,27.2,0.0,1
1,1.4,0,9,12,8.571428571,0,0,0,95.31,25.0,33.21,27.2,0.0,0
1,1.5,0,10,16,10.66666667,0,0,0,95.31,25.0,33.21,27.2,0.0,0
1,1.6,0,11,16,10.0,1,0,0,95.31,25.0,33.21,27.2,0.0,0
1,2.1,0,12,16,7.619047619,2,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.2,0,13,16,7.272727272999999,3,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.3,0,14,16,6.956521738999999,4,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.4,0,15,16,6.666666667,5,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.5,0,16,16,6.4,6,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.6,0,17,16,6.153846154,7,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.7,0,18,16,5.925925926000001,8,0,0,87.34,34.6,42.2,41.2,0.0,0
1,2.8,0,19,16,5.714285714,9,0,0,87.34,34.6,42.2,41.2,0.0,0
1,3.1,0,20,16,5.161290323,10,0,1,95.31,25.0,33.21,27.2,0.0,1
1,3.2,0,21,16,5.0,11,0,1,95.31,25.0,33.21,27.2,0.0,1
1,3.3,0,22,16,4.848484848,12,0,1,95.31,25.0,33.21,27.2,0.0,1
1,3.4,0,23,16,4.705882353,13,0,1,95.31,25.0,33.21,27.2,0.0,1
1,3.5,0,24,16,4.571428571,14,0,1,95.31,25.0,33.21,27.2,0.0,1
1,3.6,0,25,20,5.555555556,0,0,1,95.31,25.0,33.21,27.2,0.0,1
1,4.1,1,0,20,4.87804878,1,0,0,87.34,34.6,42.2,41.2,0.0,0
1,4.2,1,1,20,4.7619047619999995,2,0,0,87.34,34.6,42.2,41.2,0.0,0
1,4.3,1,2,20,4.651162791,3,0,0,87.34,34.6,42.2,41.2,0.0,0
1,4.4,1,3,20,4.545454545,4,0,0,87.34,34.6,42.2,41.2,0.0,0
1,4.5,1,4,20,4.444444444,5,0,0,87.34,34.6,42.2,41.2,0.0,0
1,4.6,1,5,20,4.347826087,6,0,0,87.34,34.6,42.2,41.2,0.0,0
1,5.1,1,6,24,4.6,0,0,0,81.82,25.0,47.9,27.2,0.0,0
1,5.2,1,7,24,4.6,1,0,0,81.82,25.0,47.9,27.2,0.0,0
1,5.3,1,8,24,4.6,2,0,0,81.82,25.0,47.9,27.2,0.0,0
1,5.4,1,9,24,4.6,3,0,0,81.82,25.0,47.9,27.2,0.0,0
1,5.5,1,10,24,3.4,4,0,0,81.82,25.0,47.9,27.2,0.0,0
1,5.6,1,11,25,3.4,5,0,0,87.34,25.0,42.2,27.2,0.0,0
1,6.1,1,12,25,3.4,6,0,0,81.82,34.6,47.9,41.2,0.0,0
1,6.2,1,13,25,2.6,7,0,0,87.34,34.6,42.2,41.2,0.0,0
1,6.3,1,14,27,2.2,8,0,0,87.34,34.6,42.2,41.2,0.0,0
1,6.4,1,15,27,2.2,9,0,0,87.34,34.6,42.2,41.2,0.0,0
1,6.5,1,16,27,2.2,10,0,0,87.34,34.6,42.2,41.2,0.0,0
1,6.6,1,17,27,2.2,11,0,0,87.34,34.6,42.2,41.2,0.0,0
1,6.7,1,18,27,2.2,12,0,0,87.34,34.6,42.2,41.2,0.0,0
1,7.1,1,19,27,2.2,13,0,1,81.82,25.0,47.9,27.2,0.0,1
1,7.2,1,20,28,2.4,14,0,1,87.34,25.0,42.2,27.2,0.0,1
1,7.3,1,21,28,2.4,15,0,1,87.34,25.0,42.2,27.2,0.0,1
1,7.4,1,22,28,2.4,16,0,1,87.34,25.0,42.2,27.2,0.0,1
1,7.5,2,0,28,2.4,17,0,0,83.0,25.0,47.86,27.2,0.0,0
1,7.6,2,1,28,2.4,18,0,0,83.0,25.0,47.86,27.2,0.0,0
1,7.7,2,2,28,2.4,19,0,0,83.0,25.0,47.86,27.2,0.0,0
1,8.1,2,3,28,2.4,20,0,0,81.82,34.6,47.9,41.2,0.0,0
1,8.2,2,4,28,2.4,21,0,0,81.82,34.6,47.9,41.2,0.0,0
1,8.3,2,5,28,2.4,22,0,0,81.82,34.6,47.9,41.2,0.0,0
1,8.4,2,6,29,1.8,23,0,0,83.0,34.6,47.86,41.2,0.0,0
1,8.5,2,7,30,2.0,24,0,0,81.82,34.6,47.9,41.2,0.0,0
1,8.6,2,8,30,2.0,25,0,0,81.82,34.6,47.9,41.2,0.0,0
1,9.1,2,9,30,2.0,26,0,0,83.0,30.98,47.86,32.4,0.0,0
1,9.2,2,10,30,2.0,27,0,0,83.0,30.98,47.86,32.4,0.0,0
1,9.3,2,11,32,2.4,28,0,0,83.0,30.98,47.86,32.4,0.0,0
1,9.4,2,12,33,2.6,29,0,0,81.82,30.98,47.9,32.4,0.0,0
1,9.5,2,13,33,1.8,30,0,0,81.82,30.98,47.9,32.4,0.0,0
