,Player,bowler,bowling_average,SR,name,valid_SR,SR
0,M Muralitharan (Asia/ICC/SL),A Bagai,-,-,A Bagai,-,-
1,Wasim Akram (PAK),A Balbirnie,34,30,A Balbirnie,-,30
2,Waqar Younis (PAK),A Bhandari,21.2,21.2,A Bhandari,-,21.2
3,WPUJC Vaas (Asia/SL),A Codrington,26.5,30,A Codrington,-,30
4,Shahid Afridi (Asia/ICC/PAK),A Dananjaya,29.52,34.7,A Dananjaya,34.7,34.7
5,SM Pollock (Afr/ICC/SA),A Flintoff,24.38,33.2,A Flintoff,33.2,33.2
6,GD McGrath (AUS/ICC),A Flower,-,-,A Flower,-,-
7,B Lee (AUS),A Jadeja,54.7,62.4,A Jadeja,-,62.4
8,SL Malinga (SL),A Kumble,30.89,43,A Kumble,43,43
9,A Kumble (Asia/INDIA),A Kuruvilla,35.6,45.2,A Kuruvilla,-,45.2
10,ST Jayasuriya (Asia/SL),A Maregwede,-,-,A Maregwede,-,-
11,J Srinath (INDIA),A Martin,26.9,40.3,A Martin,-,40.3
12,DL Vettori (ICC/NZ),A McGrath,43.75,57,A McGrath,-,57
13,SK Warne (AUS/ICC),A Mishra,23.6,29.9,A Mishra,29.9,29.9
14,AB Agarkar (INDIA),A Mithun,67.66,60,A Mithun,-,60
15,Saqlain Mushtaq (PAK),A Nao,35.35,43.7,A Nao,-,43.7
16,Z Khan (Asia/INDIA),A Ndlovu,80,102,A Ndlovu,-,102
17,JH Kallis (Afr/ICC/SA),A Nehra,31.72,36.6,A Nehra,36.6,36.6
18,AA Donald (SA),A Neill,24,55,A Neill,-,55
19,Abdul Razzaq (Asia/PAK),A Nel,27.68,35.8,A Nel,35.8,35.8
20,JM Anderson (ENG),A Nortje,18.75,23.6,A Nortje,-,23.6
21,Harbhajan Singh (Asia/INDIA),A Patel,24.33,20,A Patel,-,20
22,Mashrafe Mortaza (Asia/BDESH),A Ranatunga,47.55,59.6,A Ranatunga,59.6,59.6
23,M Ntini (ICC/SA),A Ratra,-,-,A Ratra,-,-
24,Shakib Al Hasan (BDESH),A Shahzad,28.82,34.5,A Shahzad,-,34.5
25,N Kapil Dev (INDIA),A Shamshudeen,-,-,A Shamshudeen,-,-
26,Shoaib Akhtar (Asia/ICC/PAK),A Symonds,37.25,44.6,A Symonds,44.6,44.6
27,KD Mills (NZ),A Turner,-,-,A Turner,-,-
28,MG Johnson (AUS),A Vala,24,38.4,A Vala,38.4,38.4
