Player,SR,Valid_average,,Names,Valid_average
A Bagai,65.57,37.76,,A Bagai,37.76
A Balbirnie,75.49,31.8,,A Balbirnie,31.8
A Bhandari,-,-,,A Bhandari,-
A Codrington,51.08,-,,A Codrington,-
A Dananjaya,68.85,12.86,,A Dananjaya,12.86
A Flintoff,88.82,32.01,,A Flintoff,32.01
A Flower,74.59,35.34,,A Flower,35.34
A Jadeja,69.8,37.47,,A Jadeja,37.47
A Kumble,61.06,10.53,,A Kumble,10.53
A Kuruvilla,60.46,3.71,,A Kuruvilla,3.71
A Maregwede,56.88,12.4,,A Maregwede,12.4
A Martin,34.48,-,,A Martin,-
A McGrath,47.02,16.6,,A McGrath,16.6
A Mishra,52.43,5.37,,A Mishra,5.37
A Mithun,92.72,-,,A Mithun,-
A Nao,108.43,45,,A Nao,45
A Ndlovu,-,5.64,,A Nehra,5.64
A Nehra,57.31,-,,A Neill,-
A Neill,0,12.7,,A Nel,12.7
A Nel,76.5,-,,A Nortje,-
A Nortje,44.44,-,,A Patel,-
A Patel,86.2,35.84,,A Ranatunga,35.84
A Ranatunga,77.9,12.85,,A Ratra,12.85
A Ratra,70.86,6.5,,A Shahzad,6.5
A Shahzad,65,-,,A Shamshudeen,-
A Shamshudeen,10.71,39.75,,A Symonds,39.75
A Symonds,92.44,-,,A Turner,-
A Turner,79.93,27.37,,A Vala,27.37
A Vala,68.29,-,,A van der Merwe,-
A van der Merwe,60,6.66,,A Zampa,6.66
A Zampa,62.57,4.31,,AA Donald,4.31
AA Donald,34.05,-,,AA Mallett,-
AA Mallett,38.88,20.08,,AA Mulla,20.08
AA Mulla,81,30.37,,AA Obanda,30.37
AA Noffke,-,-,,Aamer Hameed,-
AA Obanda,74.03,-,,Aamer Hanif,-
Aamer Hameed,-,25.27,,Aamer Malik,25.27
Aamer Hanif,69.53,-,,Aamer Nazir,-
Aamer Malik,56.21,31.86,,Aamer Sohail,31.86
Aamer Nazir,65,-,,Aamer Yamin,-
Aamer Sohail,65.5,-,,Aamir Kaleem,-
Aamer Yamin,98.95,10.68,,Aaqib Javed,10.68
Aamir Kaleem,81.25,-,,Aarif Sheikh,-
Aaqib Javed,58.55,-,,Aaron Jones,-
Aarif Sheikh,53.4,-,,AAW Gunawardena,-
Aaron Jones,66.79,14.58,,AB Agarkar,14.58
AAW Gunawardena,20,30.3,,AB Barath,30.3
AB Agarkar,80.62,53.5,,AB de Villiers,53.5
AB Barath,64.37,4.2,,AB Dinda,4.2
AB de Villiers,101.09,-,,Abdul Jabbar,-
AB Dinda,58.33,15.26,,Abdul Qadir,15.26
Abdul Jabbar,71.95,29.7,,Abdul Razzaq,29.7
Abdul Qadir,75.5,-,,Abdul Rehman,-
Abdul Razzaq,81.25,-,,Abdul Shakoor,-
Abdul Rehman,7.69,-,,Abdullah Mazari,-
Abdul Shakoor,52.94,-,,Abdur Rauf,-
Abdullah Mazari,18.75,13.43,,Abdur Razzak,13.43
Abdur Rauf,-,8.35,,Abdur Rehman,8.35
Abdur Razzak,76.37,-,,Abid Ali,-
Abdur Rehman,53.99,-,,Abu Hider,-
Abid Ali,97.44,-,,Abu Jayed,-
Abu Hider,9.09,-,,Abul Hasan,-
Abu Jayed,-,-,,AC Agar,-
Abul Hasan,68.75,22.57,,AC Bedade,22.57
AC Agar,88.23,19.58,,AC Botha,19.58
AC Bedade,86.33,13.5,,AC Cummins,13.5
AC Botha,68.65,19.5,,AC Dale,19.5
AC Cummins,82.93,23,,AC Dawson,23
AC Dale,57.35,10,,AC Evans,10
AC Dawson,102.98,35.89,,AC Gilchrist,35.89
AC Evans,63.69,29.41,,AC Hudson,29.41
AC Gilchrist,96.94,25.68,,AC Parore,25.68
AC Hudson,64.62,45.78,,AC Voges,45.78
AC Parore,68.09,23.37,,AC Waller,23.37
AC Voges,87.17,-,,ACI Lock,-
AC Waller,69.79,-,,ACL Richards,-
ACI Lock,40,22.12,,AD Brown,22.12
ACL Richards,100,20.69,,AD Gaekwad,20.69
AD Brown,82.9,37.79,,AD Hales,37.79
AD Gaekwad,52.84,22.27,,AD Mascarenhas,22.27
AD Hales,95.72,42.73,,AD Mathews,42.73
AD Mascarenhas,95.33,5.73,,AD Mullally,5.73
AD Mathews,83.33,19.61,,AD Poynter,19.61
AD Mullally,36.13,27.21,,AD Russell,27.21
AD Poynter,61.89,2.8,,Adeel Raja,2.8
AD Russell,130.22,-,,ADG Roberts,-
Adeel Raja,20.14,-,,ADJ Pitcher,-
ADG Roberts,66.66,-,,Adnan Akmal,-
ADJ Pitcher,71.42,27.5,,Adnan Mufti,27.5
Adnan Akmal,69.66,30.5,,ADR Campbell,30.5
Adnan Mufti,80.68,14.16,,ADS Fletcher,14.16
ADR Campbell,66.18,-,,AE Greenidge,-
ADS Fletcher,64.48,15.55,,AF Buurman,15.55
AE Greenidge,69.69,17.5,,AF Giles,17.5
AF Buurman,78.21,16.8,,AF Milne,16.8
AF Giles,69.87,-,,AF Sattaur,-
AF Milne,101.81,-,,AFG Griffith,-
AF Sattaur,33.33,17.6,,Afsar Zazai,17.6
AFG Griffith,55.93,24.73,,Aftab Ahmed,24.73
Afsar Zazai,54.09,11.42,,Aftab Alam,11.42
Aftab Ahmed,83.04,-,,Afzaal Haider,-
Aftab Alam,74.76,14.58,,AG Cremer,14.58
Afzaal Haider,42.3,-,,AG Davies,-
AG Cremer,62.2,2.25,,AG Huckle,2.25
AG Davies,53.89,-,,AG Hurst,-
AG Huckle,56.25,35.1,,AG Prince,35.1
AG Hurst,36.84,-,,AG Puttick,-
AG Prince,67.77,9.5,,AG Wharf,9.5
AG Puttick,0,-,,AGD Wickremasinghe,-
AG Wharf,67.85,-,,AGR Loudon,-
AGD Wickremasinghe,20,8.5,,AH Gray,8.5
AGR Loudon,-,35.69,,AH Jones,35.69
AH Gray,66.23,16.8,,AH Omarshah,16.8
AH Jones,57.86,-,,Ahmed Kamal,-
AH Omarshah,50.81,12.9,,Ahmed Raza,12.9
Ahmed Kamal,57.89,-,,Ahmed Shah,-
Ahmed Raza,56.66,32.56,,Ahmed Shehzad,32.56
Ahmed Shah,20,-,,Ahsan Malik,-
Ahmed Shehzad,72.08,34.41,,AI Kallicharran,34.41
Ahsan Malik,51.85,13.77,,AIC Dodemaide,13.77
AI Kallicharran,62.15,-,,Aijaz Ali,-
AIC Dodemaide,77.98,8.66,,Aizaz Cheema,8.66
Aijaz Ali,45.45,20,,Aizaz Khan,20
Aizaz Cheema,57.77,20.47,,AJ Bichel,20.47
Aizaz Khan,69.51,-,,AJ Burger,-
AJ Bichel,78.5,40.34,,AJ Finch,40.34
AJ Burger,100.5,21.04,,AJ Hall,21.04
AJ Finch,89.39,25.25,,AJ Hollioake,25.25
AJ Hall,75.04,3.75,,AJ Ireland,3.75
AJ Hollioake,75.09,39.31,,AJ Lamb,39.31
AJ Ireland,29.7,4,,AJ McKay,4
AJ Lamb,75.54,-,,AJ Penn,-
AJ Mackay,-,17.35,,AJ Pycroft,17.35
AJ McKay,25.53,-,,AJ Redmond,-
AJ Penn,69.69,31.6,,AJ Stewart,31.6
AJ Pycroft,52.67,35.63,,AJ Strauss,35.63
AJ Redmond,58.68,11,,AJ Traicos,11
AJ Stewart,68.36,-,,AJ Tudor,-
AJ Strauss,80.94,-,,AJ Turner,-
AJ Traicos,50.28,-,,AJ Tye,-
AJ Tudor,81.81,-,,AJ Woodcock,-
AJ Turner,127.92,27.95,,AK Markram,27.95
AJ Tye,118.75,-,,AK Patel,-
AJ Woodcock,79.1,-,,AK Perera,-
AK Markram,85.16,-,,AK Sah,-
AK Patel,54.54,20.19,,AK Sharma,20.19
AK Perera,62.65,-,,AK Zesers,-
AK Sah,71.42,-,,Akhtar Sarfraz,-
AK Sharma,90.4,23.23,,Akram Khan,23.23
AK Zesers,71.42,17.54,,Akram Raza,17.54
Akhtar Sarfraz,66.66,-,,Akshay Homraj,-
Akram Khan,56.71,-,,AL Kandappah,-
Akram Raza,62.25,28.95,,AL Logie,28.95
Akshay Homraj,73.33,32.29,,AL Phehlukwayo,32.29
AL Kandappah,62.17,13.35,,Al Sahariar,13.35
AL Logie,73.9,-,,AL Wadekar,-
AL Phehlukwayo,90,2,,Al-Amin Hossain,2
Al Sahariar,52.75,-,,Alawi Shukri,-
AL Thomson,-,14.56,,ALF de Mel,14.56
AL Wadekar,81.11,-,,Ali Asad,-
Al-Amin Hossain,20,-,,Ali Khan,-
Alawi Shukri,33.33,19.6,,Alok Kapali,19.6
ALF de Mel,78.31,20.76,,AM Bacher,20.76
Ali Asad,44.68,18.96,,AM Blignaut,18.96
Ali Khan,27.27,-,,AM de Silva,-
Alok Kapali,67.96,14,,AM Ellis,14
AM Bacher,57.56,-,,AM Guruge,-
AM Blignaut,106.28,-,,AM Nayar,-
AM de Silva,50,7.36,,AM Phangiso,7.36
AM Ellis,83.69,35.26,,AM Rahane,35.26
AM Fernando,-,-,,AM Salvi,-
AM Guruge,55.17,29.6,,AM Samad,29.6
AM Nayar,0,-,,AM Stuart,-
AM Phangiso,50,-,,Aman Ali,-
AM Rahane,78.63,10.04,,AME Roberts,10.04
AM Salvi,28.57,23.35,,Aminul Islam,23.35
AM Samad,70.81,-,,Aminul Islam jnr,-
AM Stuart,14.28,3.28,,Amir Hamza,3.28
Aman Ali,0,-,,Amir Hayat,-
AME Roberts,64.7,-,,AMJ Hilditch,-
Aminul Islam,56.59,30.58,,Amjad Ali,30.58
Aminul Islam jnr,-,19.91,,Amjad Javed,19.91
Amir Hamza,24.46,-,,AMN Munasinghe,-
Amir Hayat,42.46,36.4,,AN Cook,36.4
AMJ Hilditch,47.47,-,,AN French,-
Amjad Ali,76.47,28,,AN Kervezee,28
Amjad Javed,89.51,28,,AN Petersen,28
AMN Munasinghe,25,-,,AN Ranasinghe,-
AN Connolly,-,30.05,,Anamul Haque,30.05
AN Cook,77.13,12.42,,Anil Dalpat,12.42
AN French,28.57,-,,Anisur Rahman,-
AN Kervezee,73.15,-,,Ankur Vasishta,-
AN Petersen,82.62,51.75,,Anshuman Rath,51.75
AN Ranasinghe,104.08,29.18,,Anwar Ali,29.18
Anamul Haque,70.69,-,,Anwar Hossain,-
Anil Dalpat,63.97,-,,Anwar Hossain Monir,-
Anisur Rahman,18.18,30.46,,AO Malhotra,30.46
Ankur Vasishta,52.17,12.97,,AO Suji,12.97
Anshuman Rath,76.66,17.72,,AP Devcich,17.72
Anwar Ali,87.46,-,,AP Grayson,-
Anwar Hossain,39.25,28.27,,AP Gurusinha,28.27
Anwar Hossain Monir,0,-,,AP Igglesden,-
AO Malhotra,70.85,33.68,,AP Kuiper,33.68
AO Suji,51.79,-,,AP Sheahan,-
AP Devcich,77.07,-,,AP Weerakkody,-
AP Grayson,46.15,-,,AP Wells,-
AP Gurusinha,60.88,-,,APB Tennekoon,-
AP Igglesden,64.51,20,,APE Knott,20
AP Kuiper,81.41,-,,Aqib Ilyas,-
AP Sheahan,60.48,17.45,,AR Adams,17.45
AP Weerakkody,50,-,,AR Berenger,-
AP Wells,150,30.62,,AR Border,30.62
APB Tennekoon,66.18,-,,AR Butcher,-
APE Knott,80.97,12.45,,AR Caddick,12.45
Aqib Ilyas,81.17,22.57,,AR Cusack,22.57
AR Adams,100.47,7.16,,AR Kapoor,7.16
AR Berenger,67.43,13.54,,AR Khurasiya,13.54
AR Border,71.42,16.18,,AR McBrine,16.18
AR Butcher,53.84,19.3,,AR Nurse,19.3
AR Caddick,63.03,12.92,,AR Patel,12.92
AR Cusack,64.27,-,,AR Pitcher,-
AR Kapoor,68.25,-,,AR Tait,-
AR Khurasiya,79.25,18.04,,AR White,18.04
AR McBrine,71.67,7.63,,AR Whittall,7.63
AR Nurse,97.85,12,,Arafat Sunny,12
AR Patel,95.26,12.81,,ARC Fraser,12.81
AR Pitcher,40.44,-,,Ariful Haque,-
AR Tait,109.37,-,,ARM Opatha,-
AR White,62.83,-,,Arshad Ali,-
AR Whittall,54.19,11.6,,Arshad Ayub,11.6
Arafat Sunny,52.17,12.09,,Arshad Khan,12.09
ARC Fraser,67.78,-,,Arshad Laeeq,-
Ariful Haque,-,-,,Arshad Pervez,-
ARM Opatha,52.72,23.38,,AS Hansra,23.38
